Bank Reference,UTR Number,Credit Amount (INR),Value Date,Description / Narration
BNK_REF_1001,UTR20260901CLEAN1001,1473.39,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1001
BNK_REF_1002,UTR20260901CLEAN1002,2947.75,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1002
BNK_REF_1003,UTR20260901CLEAN1003,4423.09,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1003
BNK_REF_1004,UTR20260901CLEAN1004,7704.28,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1004
BNK_REF_1005,UTR20260901CLEAN1005,11765.62,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1005
BNK_REF_1006,UTR20260901CLEAN1006,15191.81,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1006
BNK_REF_1007,UTR20260901CLEAN1007,21549.15,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1007
BNK_REF_1008,UTR20260901CLEAN1008,34252.11,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1008
BNK_REF_1009,UTR20260901CLEAN1009,47930.50,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1009
BNK_REF_1010,UTR20260901CLEAN1010,48917.64,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1010
BNK_REF_1011,UTR20260901CLEAN1011,1913.74,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1011
BNK_REF_1012,UTR20260901CLEAN1012,3241.65,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1012
BNK_REF_1013,UTR20260901CLEAN1013,6717.63,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1013
BNK_REF_1014,UTR20260901CLEAN1014,9899.72,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1014
BNK_REF_1015,UTR20260901CLEAN1015,13327.86,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1015
BNK_REF_1016,UTR20260901CLEAN1016,17536.14,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1016
BNK_REF_1017,UTR20260901CLEAN1017,24087.79,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1017
BNK_REF_1018,UTR20260901CLEAN1018,30444.15,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1018
BNK_REF_1019,UTR20260901CLEAN1019,41682.52,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1019
BNK_REF_1020,UTR20260901CLEAN1020,48917.64,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1020
BNK_REF_1021,UTR20260901CLEAN1021,1668.67,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1021
BNK_REF_1022,UTR20260901CLEAN1022,3143.03,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1022
BNK_REF_1023,UTR20260901CLEAN1023,4618.37,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1023
BNK_REF_1024,UTR20260901CLEAN1024,7899.56,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1024
BNK_REF_1025,UTR20260901CLEAN1025,11960.90,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1025
BNK_REF_1026,UTR20260901CLEAN1026,15387.09,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1026
BNK_REF_1027,UTR20260901CLEAN1027,21744.43,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1027
BNK_REF_1028,UTR20260901CLEAN1028,34447.39,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1028
BNK_REF_1029,UTR20260901CLEAN1029,48125.78,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1029
BNK_REF_1030,UTR20260901CLEAN1030,49112.92,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1030
BNK_REF_1031,UTR20260901CLEAN1031,2109.02,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1031
BNK_REF_1032,UTR20260901CLEAN1032,3436.93,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1032
BNK_REF_1033,UTR20260901CLEAN1033,6912.91,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1033
BNK_REF_1034,UTR20260901CLEAN1034,10095.00,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1034
BNK_REF_1035,UTR20260901CLEAN1035,13523.14,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1035
BNK_REF_1036,UTR20260901CLEAN1036,17731.42,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1036
BNK_REF_1037,UTR20260901CLEAN1037,24283.07,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1037
BNK_REF_1038,UTR20260901CLEAN1038,30639.43,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1038
BNK_REF_1039,UTR20260901CLEAN1039,41877.80,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1039
BNK_REF_1040,UTR20260901CLEAN1040,49112.92,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901CLEAN1040
BNK_REF_1041,UTR20260901FEEERR1041,2434.65,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1041
BNK_REF_1042,UTR20260901FEEERR1042,3905.67,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1042
BNK_REF_1043,UTR20260901FEEERR1043,5377.64,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1043
BNK_REF_1044,UTR20260901FEEERR1044,8633.65,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1044
BNK_REF_1045,UTR20260901FEEERR1045,12660.37,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1045
BNK_REF_1046,UTR20260901FEEERR1046,16059.63,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1046
BNK_REF_1047,UTR20260901FEEERR1047,22354.60,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1047
BNK_REF_1048,UTR20260901FEEERR1048,34918.52,2026-09-01,ACH CR RAZORPAY SETTLEMENT UTR20260901FEEERR1048
