Order ID,Customer ID,Order Amount (INR),Tax Amount,Status,Order Date
ORD_1001,CUST_012,1509.00,271.62,PAID,2026-09-01T11:03:00Z
ORD_1002,CUST_013,3019.00,543.42,PAID,2026-09-01T12:06:00Z
ORD_1003,CUST_014,4530.00,815.40,PAID,2026-09-01T13:09:00Z
ORD_1004,CUST_015,7890.50,1420.29,PAID,2026-09-01T14:12:00Z
ORD_1005,CUST_001,12050.00,2169.00,PAID,2026-09-01T15:15:00Z
ORD_1006,CUST_002,15559.00,2800.62,PAID,2026-09-01T16:18:00Z
ORD_1007,CUST_003,22070.00,3972.60,PAID,2026-09-01T17:21:00Z
ORD_1008,CUST_004,35080.00,6314.40,PAID,2026-09-01T10:24:00Z
ORD_1009,CUST_005,49089.00,8836.02,PAID,2026-09-01T11:27:00Z
ORD_1010,CUST_006,50100.00,9018.00,PAID,2026-09-01T12:30:00Z
ORD_1011,CUST_007,1960.00,352.80,PAID,2026-09-01T13:33:00Z
ORD_1012,CUST_008,3320.00,597.60,PAID,2026-09-01T14:36:00Z
ORD_1013,CUST_009,6880.00,1238.40,PAID,2026-09-01T15:39:00Z
ORD_1014,CUST_010,10139.00,1825.02,PAID,2026-09-01T16:42:00Z
ORD_1015,CUST_011,13650.00,2457.00,PAID,2026-09-01T17:45:00Z
ORD_1016,CUST_012,17960.00,3232.80,PAID,2026-09-01T10:48:00Z
ORD_1017,CUST_013,24670.00,4440.60,PAID,2026-09-01T11:51:00Z
ORD_1018,CUST_014,31180.00,5612.40,PAID,2026-09-01T12:54:00Z
ORD_1019,CUST_015,42690.00,7684.20,PAID,2026-09-01T13:57:00Z
ORD_1020,CUST_001,50100.00,9018.00,PAID,2026-09-01T14:00:00Z
ORD_1021,CUST_002,1709.00,307.62,PAID,2026-09-01T15:03:00Z
ORD_1022,CUST_003,3219.00,579.42,PAID,2026-09-01T16:06:00Z
ORD_1023,CUST_004,4730.00,851.40,PAID,2026-09-01T17:09:00Z
ORD_1024,CUST_005,8090.50,1456.29,PAID,2026-09-01T10:12:00Z
ORD_1025,CUST_006,12250.00,2205.00,PAID,2026-09-01T11:15:00Z
ORD_1026,CUST_007,15759.00,2836.62,PAID,2026-09-01T12:18:00Z
ORD_1027,CUST_008,22270.00,4008.60,PAID,2026-09-01T13:21:00Z
ORD_1028,CUST_009,35280.00,6350.40,PAID,2026-09-01T14:24:00Z
ORD_1029,CUST_010,49289.00,8872.02,PAID,2026-09-01T15:27:00Z
ORD_1030,CUST_011,50300.00,9054.00,PAID,2026-09-01T16:30:00Z
ORD_1031,CUST_012,2160.00,388.80,PAID,2026-09-01T17:33:00Z
ORD_1032,CUST_013,3520.00,633.60,PAID,2026-09-01T10:36:00Z
ORD_1033,CUST_014,7080.00,1274.40,PAID,2026-09-01T11:39:00Z
ORD_1034,CUST_015,10339.00,1861.02,PAID,2026-09-01T12:42:00Z
ORD_1035,CUST_001,13850.00,2493.00,PAID,2026-09-01T13:45:00Z
ORD_1036,CUST_002,18160.00,3268.80,PAID,2026-09-01T14:48:00Z
ORD_1037,CUST_003,24870.00,4476.60,PAID,2026-09-01T15:51:00Z
ORD_1038,CUST_004,31380.00,5648.40,PAID,2026-09-01T16:54:00Z
ORD_1039,CUST_005,42890.00,7720.20,PAID,2026-09-01T17:57:00Z
ORD_1040,CUST_006,50300.00,9054.00,PAID,2026-09-01T10:00:00Z
ORD_1041,CUST_007,2524.00,454.32,PAID,2026-09-01T13:25:00Z
ORD_1042,CUST_008,4049.00,728.82,PAID,2026-09-01T14:30:00Z
ORD_1043,CUST_009,5575.00,1003.50,PAID,2026-09-01T15:35:00Z
ORD_1044,CUST_010,8950.50,1611.09,PAID,2026-09-01T12:40:00Z
ORD_1045,CUST_011,13125.00,2362.50,PAID,2026-09-01T13:45:00Z
ORD_1046,CUST_012,16649.00,2996.82,PAID,2026-09-01T14:50:00Z
ORD_1047,CUST_013,23175.00,4171.50,PAID,2026-09-01T15:55:00Z
ORD_1048,CUST_014,36200.00,6516.00,PAID,2026-09-01T12:00:00Z
ORD_1049,CUST_015,49734.00,8952.12,PAID,2026-09-01T14:43:00Z
ORD_1050,CUST_001,50750.00,9135.00,PAID,2026-09-01T14:50:00Z
ORD_1051,CUST_002,2615.00,470.70,PAID,2026-09-01T14:57:00Z
ORD_1052,CUST_003,3980.00,716.40,PAID,2026-09-01T14:04:00Z
ORD_1053,CUST_004,7545.00,1358.10,PAID,2026-09-01T14:11:00Z
ORD_1054,CUST_005,10809.00,1945.62,PAID,2026-09-01T14:18:00Z
ORD_1055,CUST_006,15150.00,2727.00,PAID,2026-09-01T16:15:00Z
ORD_1056,CUST_007,19480.00,3506.40,PAID,2026-09-01T16:24:00Z
ORD_1057,CUST_008,26210.00,4717.80,PAID,2026-09-01T16:33:00Z
ORD_1058,CUST_009,32740.00,5893.20,PAID,2026-09-01T16:42:00Z
ORD_1059,CUST_010,44270.00,7968.60,PAID,2026-09-01T16:51:00Z
ORD_1060,CUST_011,51700.00,9306.00,PAID,2026-09-01T16:00:00Z
