Payment ID,Order ID,Gross Amount,MDR Fee,GST on Fee (18%),Net Settlement Amount,Payout UTR,Settled Date
pay_clean_1001,ORD_1001,1509.00,30.18,5.43,1473.39,UTR20260901CLEAN1001,2026-09-01T12:03:00Z
pay_clean_1002,ORD_1002,3019.00,60.38,10.87,2947.75,UTR20260901CLEAN1002,2026-09-01T13:06:00Z
pay_clean_1003,ORD_1003,4530.00,90.60,16.31,4423.09,UTR20260901CLEAN1003,2026-09-01T14:09:00Z
pay_clean_1004,ORD_1004,7890.50,157.81,28.41,7704.28,UTR20260901CLEAN1004,2026-09-01T15:12:00Z
pay_clean_1005,ORD_1005,12050.00,241.00,43.38,11765.62,UTR20260901CLEAN1005,2026-09-01T16:15:00Z
pay_clean_1006,ORD_1006,15559.00,311.18,56.01,15191.81,UTR20260901CLEAN1006,2026-09-01T17:18:00Z
pay_clean_1007,ORD_1007,22070.00,441.40,79.45,21549.15,UTR20260901CLEAN1007,2026-09-01T18:21:00Z
pay_clean_1008,ORD_1008,35080.00,701.60,126.29,34252.11,UTR20260901CLEAN1008,2026-09-01T11:24:00Z
pay_clean_1009,ORD_1009,49089.00,981.78,176.72,47930.50,UTR20260901CLEAN1009,2026-09-01T12:27:00Z
pay_clean_1010,ORD_1010,50100.00,1002.00,180.36,48917.64,UTR20260901CLEAN1010,2026-09-01T13:30:00Z
pay_clean_1011,ORD_1011,1960.00,39.20,7.06,1913.74,UTR20260901CLEAN1011,2026-09-01T14:33:00Z
pay_clean_1012,ORD_1012,3320.00,66.40,11.95,3241.65,UTR20260901CLEAN1012,2026-09-01T15:36:00Z
pay_clean_1013,ORD_1013,6880.00,137.60,24.77,6717.63,UTR20260901CLEAN1013,2026-09-01T16:39:00Z
pay_clean_1014,ORD_1014,10139.00,202.78,36.50,9899.72,UTR20260901CLEAN1014,2026-09-01T17:42:00Z
pay_clean_1015,ORD_1015,13650.00,273.00,49.14,13327.86,UTR20260901CLEAN1015,2026-09-01T18:45:00Z
pay_clean_1016,ORD_1016,17960.00,359.20,64.66,17536.14,UTR20260901CLEAN1016,2026-09-01T11:48:00Z
pay_clean_1017,ORD_1017,24670.00,493.40,88.81,24087.79,UTR20260901CLEAN1017,2026-09-01T12:51:00Z
pay_clean_1018,ORD_1018,31180.00,623.60,112.25,30444.15,UTR20260901CLEAN1018,2026-09-01T13:54:00Z
pay_clean_1019,ORD_1019,42690.00,853.80,153.68,41682.52,UTR20260901CLEAN1019,2026-09-01T14:57:00Z
pay_clean_1020,ORD_1020,50100.00,1002.00,180.36,48917.64,UTR20260901CLEAN1020,2026-09-01T15:00:00Z
pay_clean_1021,ORD_1021,1709.00,34.18,6.15,1668.67,UTR20260901CLEAN1021,2026-09-01T16:03:00Z
pay_clean_1022,ORD_1022,3219.00,64.38,11.59,3143.03,UTR20260901CLEAN1022,2026-09-01T17:06:00Z
pay_clean_1023,ORD_1023,4730.00,94.60,17.03,4618.37,UTR20260901CLEAN1023,2026-09-01T18:09:00Z
pay_clean_1024,ORD_1024,8090.50,161.81,29.13,7899.56,UTR20260901CLEAN1024,2026-09-01T11:12:00Z
pay_clean_1025,ORD_1025,12250.00,245.00,44.10,11960.90,UTR20260901CLEAN1025,2026-09-01T12:15:00Z
pay_clean_1026,ORD_1026,15759.00,315.18,56.73,15387.09,UTR20260901CLEAN1026,2026-09-01T13:18:00Z
pay_clean_1027,ORD_1027,22270.00,445.40,80.17,21744.43,UTR20260901CLEAN1027,2026-09-01T14:21:00Z
pay_clean_1028,ORD_1028,35280.00,705.60,127.01,34447.39,UTR20260901CLEAN1028,2026-09-01T15:24:00Z
pay_clean_1029,ORD_1029,49289.00,985.78,177.44,48125.78,UTR20260901CLEAN1029,2026-09-01T16:27:00Z
pay_clean_1030,ORD_1030,50300.00,1006.00,181.08,49112.92,UTR20260901CLEAN1030,2026-09-01T17:30:00Z
pay_clean_1031,ORD_1031,2160.00,43.20,7.78,2109.02,UTR20260901CLEAN1031,2026-09-01T18:33:00Z
pay_clean_1032,ORD_1032,3520.00,70.40,12.67,3436.93,UTR20260901CLEAN1032,2026-09-01T11:36:00Z
pay_clean_1033,ORD_1033,7080.00,141.60,25.49,6912.91,UTR20260901CLEAN1033,2026-09-01T12:39:00Z
pay_clean_1034,ORD_1034,10339.00,206.78,37.22,10095.00,UTR20260901CLEAN1034,2026-09-01T13:42:00Z
pay_clean_1035,ORD_1035,13850.00,277.00,49.86,13523.14,UTR20260901CLEAN1035,2026-09-01T14:45:00Z
pay_clean_1036,ORD_1036,18160.00,363.20,65.38,17731.42,UTR20260901CLEAN1036,2026-09-01T15:48:00Z
pay_clean_1037,ORD_1037,24870.00,497.40,89.53,24283.07,UTR20260901CLEAN1037,2026-09-01T16:51:00Z
pay_clean_1038,ORD_1038,31380.00,627.60,112.97,30639.43,UTR20260901CLEAN1038,2026-09-01T17:54:00Z
pay_clean_1039,ORD_1039,42890.00,857.80,154.40,41877.80,UTR20260901CLEAN1039,2026-09-01T18:57:00Z
pay_clean_1040,ORD_1040,50300.00,1006.00,181.08,49112.92,UTR20260901CLEAN1040,2026-09-01T11:00:00Z
pay_overcharge_1041,ORD_1041,2524.00,75.72,13.63,2434.65,UTR20260901FEEERR1041,2026-09-01T14:25:00Z
